TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,Organizar Linkedin @Aumentar\ Salário @Conseguir\ Emprego @Marketing,6,2,1,Bernardo (29992693),,today,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Organizar Github @Aumentar\ Salário @Conseguir\ Emprego @Marketing,8,2,1,Bernardo (29992693),,tomorrow,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Incluir série histórica do IPCA no Stock-Advisor @Finanças @Investir\ Melhor @Operacional,2,4,1,Bernardo (29992693),,tomorrow,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Organizar e comentar código do deep_tinder para subir ao Github @Aumentar\ Salário @Conseguir\ Emprego @Marketing,9,2,1,Bernardo (29992693),,today,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Responder propostas atrasadas no Linkedin @Aumentar\ Salário @Conseguir\ Emprego @Marketing,3,3,1,Bernardo (29992693),,today,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Explorar ideia do projeto Stock-News-Sentiment @Finanças @Investir\ Melhor @Operacional,5,4,1,Bernardo (29992693),,today,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Explorar ideia do projeto Preço-Alvo @Finanças @Investir\ Melhor @Operacional,5,4,1,Bernardo (29992693),,in 6 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Trabalhar na parte de Portfolio do projeto Stock-Advisor @Crescer\ Patrimônio @Finanças @Investir\ Melhor @Operacional,5,4,1,Bernardo (29992693),,tomorrow,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Chegar aos 28.5k de fotos para cada classe do projeto Deep Tinder @Marketing @Pessoal,3,4,1,Bernardo (29992693),,in 3 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Consertar stream de preços ao vivo no Stock-Advisor @Finanças @Investir\ Melhor @Operacional,5,4,1,Bernardo (29992693),,tomorrow,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Me aplicar a vagas de Data Engineer no Linkedin @Aumentar\ Salário @Conseguir\ Emprego @Marketing,6,1,1,Bernardo (29992693),,in 5 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Chegar a 500 conexões no Linkedin. @Aumentar\ Salário @Conseguir\ Emprego @Marketing,6,3,1,Bernardo (29992693),,in 4 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Testar o deep_tinder com imagens em cinza ao invés de colorido. @Marketing @Pessoal,2,4,1,Bernardo (29992693),,in 3 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Ajeitar o Github do Stocks-Adivsor para que outras pessoas possam usar @Aumentar\ Salário @Conseguir\ Emprego @Marketing,9,3,1,Bernardo (29992693),,in 5 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Academia @Fazer\ Mais\ Exercícios @Melhorar\ Exames\ Médicos @Perder\ Peso @Pessoal @Saúde,**Current streak:** 1 day,1,1,Bernardo (29992693),,every workday,en,America/Sao_Paulo,,None
note,"**Via Habit Tracker:** You have a **1 day** streak — great job! 🎉

**Completion history**
- ✅ 2023-08-02",,,,Bernardo (29992693),,2023-08-02T23:51:04.676645Z,,,,
,,,,,,,,,,,
task,Dormir Cedo @Dormir\ Melhor @Melhorar\ Exames\ Médicos @Pessoal @Saúde,**Current streak:** 2 days,1,1,Bernardo (29992693),,every day,en,America/Sao_Paulo,,None
note,"**Via Habit Tracker:** Oh no, your streak has been lost 😥

Don't worry, you can start a new one by completing this task again.",,,,Bernardo (29992693),,2023-08-02T23:50:31.814524Z,,,,
,,,,,,,,,,,
task,Tomar remédios @Pessoal @Saúde,**Current streak:** 1 day,1,1,Bernardo (29992693),,every day,en,America/Sao_Paulo,,None
note,"**Via Habit Tracker:** You have a **1 day** streak — great job! 🎉

**Completion history**
- ✅ 2023-08-02",,,,Bernardo (29992693),,2023-08-03T00:56:30.325242Z,,,,
,,,,,,,,,,,
task,Comer saudável @Melhorar\ Exames\ Médicos @Perder\ Peso @Pessoal @Saúde,**Current streak:** 1 day,1,1,Bernardo (29992693),,every day,en,America/Sao_Paulo,,None
note,"**Via Habit Tracker:** You have a **1 day** streak — great job! 🎉

**Completion history**
- ✅ 2023-08-02",,,,Bernardo (29992693),,2023-08-03T00:56:22.390113Z,,,,
,,,,,,,,,,,
task,Fazer Currículo Atualizado @Aumentar\ Salário @Conseguir\ Emprego @Marketing,8,1,1,Bernardo (29992693),,in 4 days,en,America/Sao_Paulo,,None
,,,,,,,,,,,
task,Tomar Vitaminas @Melhorar\ Exames\ Médicos @Saúde,**Current streak:** 0 days,1,1,Bernardo (29992693),,every day,en,America/Sao_Paulo,,None
note,"**Via Habit Tracker:** Oh no, your streak has been lost 😥

Don't worry, you can start a new one by completing this task again.",,,,Bernardo (29992693),,2023-08-03T01:02:55.477333Z,,,,
,,,,,,,,,,,